id;jumlah_barang_dipesan;jumlah_barang_keluar;batch;tgl_expired;keterangan;harga_jual;status_barang_keluar;jual_id;barang_id;created_at;updated_at
4190;5;5;H42395J;2027-08-28;NULL;71283;LENGKAP;653;943;NULL;NULL
4191;50;50;I51710W;2027-09-16;NULL;3852;LENGKAP;653;282;NULL;NULL
4192;2;2;30KE01;2028-02-27;NULL;171338;LENGKAP;654;321;NULL;NULL
4195;10;10;D40990;2026-09-02;NULL;71456;LENGKAP;654;337;NULL;NULL
4196;48;48;LCM04454;2027-11-01;NULL;5550;LENGKAP;654;1230;NULL;NULL
4197;20;20;2509-01-176;2027-09-30;NULL;35247;LENGKAP;654;387;NULL;NULL
4198;50;50;2508-09-146;2028-08-31;NULL;16500;LENGKAP;654;362;NULL;NULL
4200;10;10;2508-02-331;2027-08-31;NULL;17595;LENGKAP;654;372;NULL;NULL
4201;5;5;2508-08-174;2027-08-30;NULL;13912;LENGKAP;655;361;NULL;NULL
4202;10;10;T 07024 BE;2027-07-01;NULL;34824;LENGKAP;655;860;NULL;NULL
4203;10;10;2508-17-144;2027-08-31;NULL;13656;LENGKAP;655;377;NULL;NULL
4204;4;4;IN01Z01;2027-12-30;NULL;368750;LENGKAP;655;404;NULL;NULL
4205;20;20;TSJ98454;2030-08-01;NULL;21416;LENGKAP;655;1044;NULL;NULL
4208;5;5;1112488;2029-10-30;NULL;9000;LENGKAP;655;1149;NULL;NULL
4212;5;5;E25EH0195A;2028-04-30;NULL;371250;LENGKAP;656;717;NULL;NULL
4213;10;10;SCG42454;2029-06-01;NULL;6000;LENGKAP;657;43;NULL;NULL
4214;15;15;S2360201;2027-07-01;NULL;5550;LENGKAP;657;169;NULL;NULL
4215;2;2;A04820GC;2028-07-31;NULL;60000;LENGKAP;657;788;NULL;NULL
4216;5;5;53829;2028-09-01;NULL;9712;LENGKAP;657;1256;NULL;NULL
4219;1;1;25082388;2028-07-01;NULL;106650;LENGKAP;659;437;NULL;NULL
4220;1;1;7102388;2028-09-01;NULL;107920;LENGKAP;659;445;NULL;NULL
4223;2;2;L0595746;2027-12-17;NULL;226280;LENGKAP;659;627;NULL;NULL
4225;24;24;52226298X1;2027-08-09;NULL;8776;LENGKAP;659;500;NULL;NULL
4226;15;15;86172028;2027-07-01;NULL;43125;LENGKAP;659;483;NULL;NULL
4227;10;10;D5F837K;2028-06-30;NULL;27400;LENGKAP;659;1012;NULL;NULL
4229;30;30;2508180;2027-08-19;NULL;7800;LENGKAP;659;969;NULL;NULL
4236;2;2;A902685;2028-12-20;NULL;24451;LENGKAP;660;217;NULL;NULL
4240;10;10;CF0271;2027-06-30;NULL;73412;LENGKAP;661;599;NULL;NULL
4241;5;5;T 07161 BE;2028-07-01;NULL;21250;LENGKAP;661;1202;NULL;NULL
4242;5;5;DD034;2027-04-30;NULL;33950;LENGKAP;661;1271;NULL;NULL
4243;10;10;C 09002 BE;2027-09-01;NULL;107499;LENGKAP;661;508;NULL;NULL
4246;5;5;T 06105 BE;2027-06-01;NULL;15625;LENGKAP;661;1070;NULL;NULL
4247;30;30;53599;2028-08-30;NULL;59400;LENGKAP;661;520;NULL;NULL
4248;30;30;53829;2028-09-01;NULL;9712;LENGKAP;661;1256;NULL;NULL
4249;30;30;C0360063;2027-08-30;NULL;26650;LENGKAP;661;1185;NULL;NULL
4250;30;30;52563;2027-04-30;NULL;27750;LENGKAP;662;524;NULL;NULL
4251;24;24;24101;2029-10-30;NULL;23957;LENGKAP;662;538;NULL;NULL
4252;24;24;24081;2029-08-30;NULL;31056;LENGKAP;662;537;NULL;NULL
